Year,Player,Player_ID,College,Pick,Round,Team
2013,Tavon Austin,AustTa00,West Virginia,8,,STL
2013,DeAndre Hopkins,HopkDe00,Clemson,27,,HOU
2013,Cordarrelle Patterson,PattCo00,Tennessee,29,,MIN
2013,Justin Hunter,HuntJu00,Tennessee,34,,TEN
2013,Robert Woods,WoodRo02,USC,41,,BUF
2013,Aaron Dobson,DobsAa00,Marshall,59,,NWE
2013,Terrance Williams,WillTe01,Baylor,74,,DAL
2013,Keenan Allen,AlleKe00,California,76,,SDG
2013,Marquise Goodwin,GoodMa00,Texas,78,,BUF
2013,Markus Wheaton,WheaMa00,Oregon St.,79,,PIT
2013,Stedman Bailey,BailSt01,West Virginia,92,,STL
2013,Ace Sanders,SandAc00,South Carolina,101,,JAX
2013,Josh Boyce,BoycJo00,TCU,102,,NWE
2013,Chris Harper,HarpCh00,Kansas St.,123,,SEA
2013,Quinton Patton,PattQu00,Louisiana Tech,128,,SFO
2013,Denard Robinson,RobiDe00,Michigan,135,,JAX
2013,Kenny Stills,StilKe00,Oklahoma,144,,NOR
2013,Tavarres King,KingTa00,Georgia,161,,DEN
2013,Corey Fuller,FullCo00,Virginia Tech,171,,DET
2013,Ryan Swope,SwopRy00,Texas A&M,174,,ARI
2013,Justin Brown,BrowJu00,Oklahoma,186,,PIT
2013,Alan Bonner,BonnAl00,Jacksonville St.,195,,HOU
2013,Cobi Hamilton,HamiCo00,Arkansas,197,,CIN
2013,Brice Butler,ButlBr00,San Diego St.,209,,OAK
2013,Charles Johnson,JohnCh08,Grand Valley St.,216,,GNB
2013,Kevin Dorsey,DorsKe01,Maryland,224,,GNB
2013,Marquess Wilson,WilsMa02,Washington St.,236,,CHI
2013,Aaron Mellette,MellAa00,Elon,238,,BAL
2014,Sammy Watkins,WatkSa00,Clemson,4,,BUF
2014,Mike Evans,EvanMi00,Texas A&M,7,,TAM
2014,Odell Beckham Jr.,BeckOd00,LSU,12,,NYG
2014,Brandin Cooks,CookBr00,Oregon St.,20,,NOR
2014,Kelvin Benjamin,BenjKe00,Florida St.,28,,CAR
2014,Marqise Lee,LeexMa00,USC,39,,JAX
2014,Jordan Matthews,MattJo00,Vanderbilt,42,,PHI
2014,Paul Richardson,RichPa01,Colorado,45,,SEA
2014,Davante Adams,AdamDa01,Fresno St.,53,,GNB
2014,Cody Latimer,LatiCo00,Indiana,56,,DEN
2014,Allen Robinson,RobiAl02,Penn St.,61,,JAX
2014,Jarvis Landry,LandJa00,LSU,63,,MIA
2014,Josh Huff,HuffJo00,Oregon,86,,PHI
2014,Donte Moncrief,MoncDo00,Mississippi,90,,IND
2014,John Brown,BrowJo02,Pittsburg St.,91,,ARI
2014,Dri Archer,ArchDr00,Kent St.,97,,PIT
2014,Jalen Saunders,SaunJa00,Oklahoma,104,,NYJ
2014,Bruce Ellington,ElliBr00,South Carolina,106,,SFO
2014,Shaquelle Evans,EvanSh00,UCLA,115,,NYJ
2014,Martavis Bryant,BryaMa00,Clemson,118,,PIT
2014,Kevin Norwood,NorwKe00,Alabama,123,,SEA
2014,Ryan Grant,GranRy01,Tulane,142,,WAS
2014,Devin Street,StreDe00,Pittsburgh,146,,DAL
2014,Jared Abbrederis,AbbrJa00,Wisconsin,176,,GNB
2014,Robert Herron,HerrRo00,Wyoming,185,,TAM
2014,T.J. Jones,JoneT.00,Notre Dame,189,,DET
2014,Matt Hazel,HazeMa01,Coastal Carolina,190,,MIA
2014,Walt Powell,PoweWa00,Murray St.,196,,ARI
2014,Quincy Enunwa,EnunQu00,Nebraska,209,,NYJ
2014,Michael Campanaro,CampMi02,Wake Forest,218,,BAL
2014,Jeff Janis,JaniJe00,Saginaw Valley St.,236,,GNB
2014,James Wright,WrigJa03,LSU,239,,CIN
2014,Tevin Reese,ReesTe00,Baylor,240,,SDG
2014,Jeremy Gallon,GallJe00,Michigan,244,,NWE
2015,Amari Cooper,CoopAm00,Alabama,4,,OAK
2015,Kevin White,WhitKe00,West Virginia,7,,CHI
2015,DeVante Parker,ParkDe01,Louisville,14,,MIA
2015,Nelson Agholor,AghoNe00,USC,20,,PHI
