Year,Player,College,Pick,Round,Team,Games_Played,Career_AV,Receiving_Yards,Receiving_TDs,Seasons_Played
2013,Tavon Austin,West Virginia,8,,STL,,,,,
2013,DeAndre Hopkins,Clemson,27,,HOU,,,,,
2013,Cordarrelle Patterson,Tennessee,29,,MIN,,,,,
2013,Justin Hunter,Tennessee,34,,TEN,,,,,
2013,Robert Woods,USC,41,,BUF,,,,,
2013,Aaron Dobson,Marshall,59,,NWE,,,,,
2013,Terrance Williams,Baylor,74,,DAL,,,,,
2013,Keenan Allen,California,76,,SDG,,,,,
2013,Marquise Goodwin,Texas,78,,BUF,,,,,
2013,Markus Wheaton,Oregon St.,79,,PIT,,,,,
2013,Stedman Bailey,West Virginia,92,,STL,,,,,
2013,Ace Sanders,South Carolina,101,,JAX,,,,,
2013,Josh Boyce,TCU,102,,NWE,,,,,
2013,Chris Harper,Kansas St.,123,,SEA,,,,,
2013,Quinton Patton,Louisiana Tech,128,,SFO,,,,,
2013,Denard Robinson,Michigan,135,,JAX,,,,,
2013,Kenny Stills,Oklahoma,144,,NOR,,,,,
2013,Tavarres King,Georgia,161,,DEN,,,,,
2013,Corey Fuller,Virginia Tech,171,,DET,,,,,
2013,Ryan Swope,Texas A&M,174,,ARI,,,,,
2013,Justin Brown,Oklahoma,186,,PIT,,,,,
2013,Alan Bonner,Jacksonville St.,195,,HOU,,,,,
2013,Cobi Hamilton,Arkansas,197,,CIN,,,,,
2013,Brice Butler,San Diego St.,209,,OAK,,,,,
2013,Charles Johnson,Grand Valley St.,216,,GNB,,,,,
2013,Kevin Dorsey,Maryland,224,,GNB,,,,,
2013,Marquess Wilson,Washington St.,236,,CHI,,,,,
2013,Aaron Mellette,Elon,238,,BAL,,,,,
2014,Sammy Watkins,Clemson,4,,BUF,,,,,
2014,Mike Evans,Texas A&M,7,,TAM,,,,,
2014,Odell Beckham Jr.,LSU,12,,NYG,,,,,
2014,Brandin Cooks,Oregon St.,20,,NOR,,,,,
2014,Kelvin Benjamin,Florida St.,28,,CAR,,,,,
2014,Marqise Lee,USC,39,,JAX,,,,,
2014,Jordan Matthews,Vanderbilt,42,,PHI,,,,,
2014,Paul Richardson,Colorado,45,,SEA,,,,,
2014,Davante Adams,Fresno St.,53,,GNB,,,,,
2014,Cody Latimer,Indiana,56,,DEN,,,,,
2014,Allen Robinson,Penn St.,61,,JAX,,,,,
2014,Jarvis Landry,LSU,63,,MIA,,,,,
2014,Josh Huff,Oregon,86,,PHI,,,,,
2014,Donte Moncrief,Mississippi,90,,IND,,,,,
2014,John Brown,Pittsburg St.,91,,ARI,,,,,
2014,Dri Archer,Kent St.,97,,PIT,,,,,
2014,Jalen Saunders,Oklahoma,104,,NYJ,,,,,
2014,Bruce Ellington,South Carolina,106,,SFO,,,,,
2014,Shaquelle Evans,UCLA,115,,NYJ,,,,,
2014,Martavis Bryant,Clemson,118,,PIT,,,,,
2014,Kevin Norwood,Alabama,123,,SEA,,,,,
2014,Ryan Grant,Tulane,142,,WAS,,,,,
2014,Devin Street,Pittsburgh,146,,DAL,,,,,
2014,Jared Abbrederis,Wisconsin,176,,GNB,,,,,
2014,Robert Herron,Wyoming,185,,TAM,,,,,
2014,T.J. Jones,Notre Dame,189,,DET,,,,,
2014,Matt Hazel,Coastal Carolina,190,,MIA,,,,,
2014,Walt Powell,Murray St.,196,,ARI,,,,,
2014,Quincy Enunwa,Nebraska,209,,NYJ,,,,,
2014,Michael Campanaro,Wake Forest,218,,BAL,,,,,
2014,Jeff Janis,Saginaw Valley St.,236,,GNB,,,,,
2014,James Wright,LSU,239,,CIN,,,,,
2014,Tevin Reese,Baylor,240,,SDG,,,,,
2014,Jeremy Gallon,Michigan,244,,NWE,,,,,
2015,Amari Cooper,Alabama,4,,OAK,,,,,
2015,Kevin White,West Virginia,7,,CHI,,,,,
2015,DeVante Parker,Louisville,14,,MIA,,,,,
2015,Nelson Agholor,USC,20,,PHI,,,,,
2015,Breshad Perriman,Central Florida,26,,BAL,,,,,
2015,Phillip Dorsett,Miami (FL),29,,IND,,,,,
2015,Devin Smith,Ohio St.,37,,NYJ,,,,,
2015,Dorial Green-Beckham,Oklahoma,40,,TEN,,,,,
2015,Tyler Lockett,Kansas St.,69,,SEA,,,,,
2015,Jaelen Strong,Arizona St.,70,,HOU,,,,,
2015,Chris Conley,Georgia,76,,KAN,,,,,
2015,Sammie Coates,Auburn,87,,PIT,,,,,
2015,Ty Montgomery,Stanford,94,,GNB,,,,,
2015,Jamison Crowder,Duke,105,,WAS,,,,,
2015,Justin Hardy,East Carolina,107,,ATL,,,,,
2015,Vince Mayle,Washington St.,123,,CLE,,,,,
2015,DeAndre Smelter,Georgia Tech,132,,SFO,,,,,
2015,Rashad Greene,Florida St.,139,,JAX,,,,,
2015,Stefon Diggs,Maryland,146,,MIN,,,,,
2015,Tony Lippett,Michigan St.,156,,MIA,,,,,
2015,JJ Nelson,Ala-Birmingham,159,,ARI,,,,,
2015,Kenny Bell,Nebraska,162,,TAM,,,,,
2015,Keith Mumphery,Michigan St.,175,,HOU,,,,,
2015,Kaelin Clay,Utah,184,,TAM,,,,,
2015,Geremy Davis,Connecticut,186,,NYG,,,,,
2015,Evan Spencer,Ohio St.,187,,WAS,,,,,
2015,Bud Sasser,Missouri,201,,STL,,,,,
2015,Darren Waller,Georgia Tech,204,,BAL,,,,,
2015,Neal Sterling,Monmouth,220,,JAX,,,,,
2015,Andre Debose,Florida,221,,OAK,,,,,
2015,Da'Ron Brown,Northern Illinois,233,,KAN,,,,,
2015,Dezmin Lewis,Central Arkansas,234,,BUF,,,,,
2015,Mario Alford,West Virginia,238,,CIN,,,,,
2015,Tre McBride,William & Mary,245,,TEN,,,,,
2016,Corey Coleman,Baylor,15,,CLE,,,,,
2016,Will Fuller,Notre Dame,21,,HOU,,,,,
2016,Josh Doctson,TCU,22,,WAS,,,,,
2016,Laquon Treadwell,Mississippi,23,,MIN,,,,,
2016,Sterling Shepard,Oklahoma,40,,NYG,,,,,
2016,Michael Thomas,Ohio St.,47,,NOR,,,,,
2016,Tyler Boyd,Pittsburgh,55,,CIN,,,,,
2016,Braxton Miller,Ohio St.,85,,HOU,,,,,
2016,Leonte Carroo,Rutgers,86,,MIA,,,,,
2016,Chris Moore,Cincinnati,107,,BAL,,,,,
2016,Malcolm Mitchell,Georgia,112,,NWE,,,,,
2016,Ricardo Louis,Auburn,114,,CLE,,,,,
2016,Pharoh Cooper,South Carolina,117,,LAR,,,,,
2016,Demarcus Robinson,Florida,126,,KAN,,,,,
2016,Tajae Sharpe,Massachusetts,140,,TEN,,,,,
2016,Jordan Payton,UCLA,154,,CLE,,,,,
2016,Trevor Davis,California,163,,GNB,,,,,
2016,Tyreek Hill,West Alabama,165,,KAN,,,,,
2016,Rashard Higgins,Colorado St.,172,,CLE,,,,,
2016,Moritz Boehringer,,180,,MIN,,,,,
2016,Jakeem Grant,Texas Tech,186,,MIA,,,,,
2016,Kolby Listenbee,TCU,192,,BUF,,,,,
2016,Cody Core,Mississippi,199,,CIN,,,,,
2016,Mike Thomas,Southern Miss,206,,LAR,,,,,
2016,Aaron Burbridge,Michigan St.,213,,SFO,,,,,
2016,Devin Lucien,Arizona St.,225,,NWE,,,,,
2016,Demarcus Ayers,Houston,229,,PIT,,,,,
2016,Daniel Braverman,Western Michigan,230,,CHI,,,,,
2016,Devin Fuller,UCLA,238,,ATL,,,,,
2016,Charone Peake,Clemson,241,,NYJ,,,,,
2016,Kenny Lawler,California,243,,SEA,,,,,
2017,Corey Davis,Western Michigan,5,,TEN,,,,,
2017,Mike Williams,Clemson,7,,LAC,,,,,
2017,John Ross,Washington,9,,CIN,,,,,
2017,Zay Jones,East Carolina,37,,BUF,,,,,
2017,Curtis Samuel,Ohio St.,40,,CAR,,,,,
2017,JuJu Smith-Schuster,USC,62,,PIT,,,,,
2017,Cooper Kupp,Eastern Washington,69,,LAR,,,,,
2017,Taywan Taylor,Western Kentucky,72,,TEN,,,,,
2017,ArDarius Stewart,Alabama,79,,NYJ,,,,,
2017,Carlos Henderson,Louisiana Tech,82,,DEN,,,,,
2017,Chris Godwin,Penn St.,84,,TAM,,,,,
2017,Kenny Golladay,Northern Illinois,96,,DET,,,,,
2017,Chad Williams,Grambling St.,98,,ARI,,,,,
2017,Amara Darboh,Michigan,106,,SEA,,,,,
