Year,Player,Player_ID,College,Pick,Round,Team,Career_AV,Games_Played,Note,Career_Yards,Career_TDs,Pro_Bowls,All_Pros,OPOY,Receptions,Receiving_Yards,Receiving_TDs,Rec/Game,Yards/Game,TD/Game,Successful
2013,Tavon Austin,AustTa00,West Virginia,8,,STL,29.0,113.0,Parsed,,,0.0,0.0,False,244,2239,16,2.16,19.81,0.14,False
2013,DeAndre Hopkins,HopkDe00,Clemson,27,,HOU,106.0,178.0,Parsed,,,5.0,3.0,False,984,12965,83,5.53,72.84,0.47,True
2013,Cordarrelle Patterson,PattCo00,Tennessee,29,,MIN,,,Parsed,,,4.0,4.0,False,,,,,,,
2013,Justin Hunter,HuntJu00,Tennessee,34,,TEN,10.0,60.0,Parsed,,,0.0,0.0,False,85,1349,13,1.42,22.48,0.22,False
2013,Robert Woods,WoodRo02,USC,41,,BUF,74.0,171.0,Parsed,,,0.0,0.0,False,683,8233,38,3.99,48.15,0.22,True
2013,Aaron Dobson,DobsAa00,Marshall,59,,NWE,6.0,24.0,Parsed,,,0.0,0.0,False,53,698,4,2.21,29.08,0.17,False
2013,Terrance Williams,WillTe01,Baylor,74,,DAL,30.0,83.0,Parsed,,,0.0,0.0,False,232,3377,20,2.8,40.69,0.24,False
2013,Keenan Allen,AlleKe00,California,76,,SDG,97.0,154.0,Parsed,,,6.0,0.0,False,974,11274,66,6.32,73.21,0.43,True
2013,Marquise Goodwin,GoodMa00,Texas,78,,BUF,27.0,114.0,Parsed,,,0.0,0.0,False,191,3090,18,1.68,27.11,0.16,False
2013,Markus Wheaton,WheaMa00,Oregon St.,79,,PIT,13.0,59.0,Parsed,,,0.0,0.0,False,110,1559,8,1.86,26.42,0.14,False
2013,Stedman Bailey,BailSt01,West Virginia,92,,STL,7.0,38.0,Parsed,,,0.0,0.0,False,59,843,2,1.55,22.18,0.05,False
2013,Ace Sanders,SandAc00,South Carolina,101,,JAX,3.0,27.0,Parsed,,,0.0,0.0,False,57,539,1,2.11,19.96,0.04,False
2013,Josh Boyce,BoycJo00,TCU,102,,NWE,1.0,10.0,Parsed,,,0.0,0.0,False,9,121,0,0.9,12.1,0,False
2013,Chris Harper,HarpCh00,Kansas St.,123,,SEA,,,Parsed,,,0.0,0.0,False,,,,,,,
2013,Quinton Patton,PattQu00,Louisiana Tech,128,,SFO,6.0,40.0,Parsed,,,0.0,0.0,False,73,880,1,1.82,22.0,0.03,False
2013,Denard Robinson,RobiDe00,Michigan,135,,JAX,,,Parsed,,,0.0,0.0,False,,,,,,,
2013,Kenny Stills,StilKe00,Oklahoma,144,,NOR,40.0,130.0,Parsed,,,0.0,0.0,False,316,4911,38,2.43,37.78,0.29,True
2013,Tavarres King,KingTa00,Georgia,161,,DEN,2.0,17.0,Parsed,,,0.0,0.0,False,22,303,3,1.29,17.82,0.18,False
2013,Corey Fuller,FullCo00,Virginia Tech,171,,DET,3.0,28.0,Parsed,,,0.0,0.0,False,18,288,1,0.64,10.29,0.04,False
2013,Ryan Swope,SwopRy00,Texas A&M,174,,ARI,,,Parsed,,,0.0,0.0,False,,,,,,,
2013,Justin Brown,BrowJu00,Oklahoma,186,,PIT,1.0,8.0,Parsed,,,0.0,0.0,False,12,94,0,1.5,11.75,0,False
2013,Alan Bonner,BonnAl00,Jacksonville St.,195,,HOU,,,Parsed,,,0.0,0.0,False,,,,,,,
2013,Cobi Hamilton,HamiCo00,Arkansas,197,,CIN,2.0,14.0,Parsed,,,0.0,0.0,False,18,242,2,1.29,17.29,0.14,False
